,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
total token_count,168357,169485,176786,191294,186078,188724,183822,187356,200570,198010,197392,189717,187735,206101,204861,204482,210639,215221,222654,220668,225407,216502,224112,216752,207958,214148,233853,220343,207054,205692,146920,135447,46463,32792,17326
Digital Humanities_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,11,5,12,1,3,1,5,1,0,0,0
Cultural Heritage_count,1,0,1,0,0,1,1,2,0,3,0,1,0,1,3,2,0,3,1,1,13,5,6,12,2,10,12,19,8,11,12,7,9,4,1
Humanities Computing_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence_count,4,0,1,1,1,1,0,2,0,0,0,1,0,0,1,2,0,2,0,1,0,0,1,1,0,0,1,3,6,3,4,1,4,1,3
Generative AI_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
