,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Digital Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491273455675622e-06,9.063389345079487e-06,0.0,0.0,0.0,1.3840702738613716e-05,5.289529616557189e-05,2.3348338532230048e-05,5.131428718040821e-05,4.538378800324948e-06,1.448897389086905e-05,4.861637788538203e-06,3.403212632725293e-05,7.382961601216712e-06,0.0,0.0,0.0
Cultural Heritage,5.939758964581217e-06,0.0,5.656556514656138e-06,0.0,0.0,5.298743138127636e-06,5.440045261176573e-06,1.0674864962958219e-05,0.0,1.5150749962123125e-05,0.0,5.271008923818108e-06,0.0,4.8519900437164305e-06,1.4644075739159723e-05,9.78081200301249e-06,0.0,1.3939160212061091e-05,4.491273455675622e-06,4.531694672539743e-06,5.76734529096257e-05,2.3094474877830228e-05,2.6772328121653458e-05,5.5362810954454864e-05,9.617326575558527e-06,4.6696677064460095e-05,5.131428718040821e-05,8.622919720617402e-05,3.863726370898413e-05,5.347801567392023e-05,8.167710318540702e-05,5.168073120851699e-05,0.00019370251598045758,0.00012198097096852891,5.771672630728385e-05
Humanities Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491273455675622e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,2.375903585832487e-05,0.0,5.656556514656138e-06,5.2275554905015314e-06,5.3740904351938436e-06,5.298743138127636e-06,0.0,1.0674864962958219e-05,0.0,0.0,0.0,5.271008923818108e-06,0.0,0.0,4.881358579719908e-06,9.78081200301249e-06,0.0,9.292773474707394e-06,0.0,4.531694672539743e-06,0.0,0.0,4.462054686942243e-06,4.613567579537905e-06,0.0,0.0,4.27619059836735e-06,1.3615136400974845e-05,2.89779477817381e-05,1.4584913365614608e-05,2.722570106180234e-05,7.382961601216712e-06,8.609000710242559e-05,3.0495242742132227e-05,0.00017315017892185154
Generative AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
