CONSPIRING TO MEAN: EXPERIMENTAL AND COMPUTATIONAL EVIDENCE FOR A USAGE-BASED HARMONIC APPROACH TO MORPHOPHONOLOGY	2013	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/23357723
Recent Work in Computational Linguistic Phylogeny	2004	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/4489723
A computational grammar for Persian based on GPSG	2011	['Linguistics']	www.jstor.org/stable/10.2307/41486052
Book Review :          Genres on the web: computational models and emprical studies                    Alexander           Mehler                             Serge           Sharoff                             Marina           Santini	2012	['Linguistics']	www.jstor.org/stable/10.2307/41486066
Book Review :          Methods in Latin computational linguistics. (Brill's studies in historical linguistics)                    Barbara           McGillivray	2015	['Linguistics']	www.jstor.org/stable/10.2307/24710081
Computational Semantic Analysis of Language: SemEval-2007 and Beyond: Introduction to the Special Issue	2009	['Linguistics']	www.jstor.org/stable/10.2307/27743605
Computational authorship attribution in medieval Latin corpora	2020	['Linguistics']	www.jstor.org/stable/10.2307/48740857
Computational semantic analysis of language: SemEval-2014 and beyond	2016	['Linguistics']	www.jstor.org/stable/10.2307/24710037
Computational text analysis within the Humanities: How to combine working practices from the contributing fields?	2019	['Linguistics']	www.jstor.org/stable/10.2307/45286320
Developing computational infrastructure for the CorCenCC corpus	2021	['Linguistics']	www.jstor.org/stable/10.2307/48756702
The potentials and limitations of modelling concept concreteness in computational semantic lexicons with dictionary definitions	2013	['Linguistics']	www.jstor.org/stable/10.2307/42636391
A Computational Model of Language Learnability and Language Change	1993	['Linguistics']	www.jstor.org/stable/10.2307/4178813
A Simple Proof That Optimality Theory Is Computationally Intractable	2006	['Linguistics']	www.jstor.org/stable/10.2307/4179363
HG Has No Computational Advantages over OT: Toward a New Toolkit for Computational OT	2013	['Linguistics']	www.jstor.org/stable/10.2307/43695765
A Computational Representation for Generalised Phrase-Structure Grammars	1992	['Philosophy', 'Linguistics']	www.jstor.org/stable/10.2307/25001473
Computational Structure of GPSG Models	1990	['Philosophy', 'Linguistics']	www.jstor.org/stable/10.2307/25001403
Computational complexity of polyadic lifts of generalized quantifiers in natural language	2010	['Philosophy', 'Linguistics']	www.jstor.org/stable/10.2307/20869023
Book Review : Handbook of computational linguistics and natural language processing	2012	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/23323234
Book Review : Linguistic and Computational Techniques in Machine Translation System Design	1997	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40027331
Book Review : Natural Language Generation in Artificial Intelligence and Computational Linguistics	1992	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40011020
Book Review : Natural Language Processing in PROLOG: An Introduction to Computational Linguistics	1990	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40007958
Book Review : Recent Advances in Computational Terminology	2003	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40007500
Book Review : Valency and Case in Computational Linguistics	1990	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40008384
Book Review : Working with Functional Grammar: Descriptive and Computational Applications	1993	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40007973
Finite-State Computational Morphology: An Analyzer Prototype for Zulu	2003	['Linguistics', 'Computer Science']	www.jstor.org/stable/10.2307/40011024
Call for papers: Thematic issue: 'Computational phonology'	2015	['Linguistics']	www.jstor.org/stable/10.2307/43865839
Computational phonology today	2017	['Linguistics']	www.jstor.org/stable/10.2307/26847502
Computationally, tone is different	2016	['Linguistics']	www.jstor.org/stable/10.2307/26337992
Formal and computational verification of phonological analyses	2017	['Linguistics']	www.jstor.org/stable/10.2307/26847511
Book Review :          COMPUTATIONAL APPROACHES TO LANGUAGE ACQUISITION                    Michael R.           Brent	1999	['Linguistics']	www.jstor.org/stable/10.2307/44486929
Book Review :          COMPUTATIONAL PSYCHOLINGUISTICS: AI AND CONNECTIONIST MODELS OF HUMAN LANGUAGE PROCESSING                    Ton           Dijkstra                             Koenraad           de Smedt	1997	['Linguistics']	www.jstor.org/stable/10.2307/44487981
Book Review :          VYGOTSKY AND COGNITIVE SCIENCE: LANGUAGE AND THE UNIFICATION OF SOCIAL AND COMPUTATIONAL MIND                    William           Frawley	2000	['Linguistics']	www.jstor.org/stable/10.2307/44486458
