title	year	discipline_names	url
Source-Language Transfer and Vowel Accommodation in the Patterning of Cherokee English /ai/ and /oi/	1999	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/455662
A Faience Head of a Graeco-Bactrian King from Ai Khanum	1998	['Asian Studies', 'Middle East Studies', 'Archaeology', 'Art & Art History', 'History', 'Linguistics']	www.jstor.org/stable/10.2307/24049090
Book Review :          The Fall of the Jurchen Chin. Wang E's Memoir on Ts'ai-Chou Under the Mongol's Siege (1233-1234). Münchener Ostasiatische Studien Band 66                    Hok-lam           Chan	1995	['Asian Studies', 'Linguistics']	www.jstor.org/stable/10.2307/41928008
Book Review :          Frustula poetarum. Contributi ai poeti latini in frammenti, (Testi e manuali per l'insegnamento universitario del latino, 71)                    Alessandro           Perutelli	2005	['Classical Studies', 'Linguistics']	www.jstor.org/stable/10.2307/41544835
Book Review :          COMPUTATIONAL PSYCHOLINGUISTICS: AI AND CONNECTIONIST MODELS OF HUMAN LANGUAGE PROCESSING                    Ton           Dijkstra                             Koenraad           de Smedt	1997	['Linguistics']	www.jstor.org/stable/10.2307/44487981
