title	year	discipline_names	url
Path to Discovery: PROGRAMMING FOR WOMEN'S CHORUS WITH ORCHESTRA	2013	['Music']	www.jstor.org/stable/10.2307/23646149
Programming Appreciation: Food for Thought: Community Choirs	2004	['Music']	www.jstor.org/stable/10.2307/23555358
Programming Opera Choruses for Treble Voices	1997	['Music']	www.jstor.org/stable/10.2307/23551514
Student Times: Repertory and Programming: Guidelines for the Young Conductor	2005	['Music']	www.jstor.org/stable/10.2307/23556269
The Heart of the Matter: Helpful Hints for Successful Programming and Efficient Rehearsing	2000	['Music']	www.jstor.org/stable/10.2307/23553518
"Vocal Jazz: ""What's in Your Folder?"" Balanced Programming for Vocal Jazz Ensembles"	2011	['Music']	www.jstor.org/stable/10.2307/23560985
Working toward Balanced Programming with Tools from the INSTITUTE <em>for</em> COMPOSER DIVERSITY Choral Works Database	2023	['Music']	www.jstor.org/stable/10.2307/27298291
Programming Attractions	2006	['Film Studies']	www.jstor.org/stable/10.2307/j.ctt46n09s.19
The Art of Programming	2019	['Language & Literature']	www.jstor.org/stable/10.2307/26801471
Object-Oriented Programming and Objectivist Epistemology: Parallels and Implications	2003	['Philosophy', 'Language & Literature']	www.jstor.org/stable/10.2307/41560220
"A CURATOR'S CONUNDRUM: Programming ""Black Film"" in 1980s—1990s Britain"	2004	['Film Studies']	www.jstor.org/stable/10.2307/41167148
FILM FESTIVALS, PROGRAMMING, AND THE BUILDING OF A NATIONAL CINEMA	2004	['Film Studies']	www.jstor.org/stable/10.2307/41167149
VISION, AUTHORITY, CONTEXT: Cornerstones of Curation and Programming	2004	['Film Studies']	www.jstor.org/stable/10.2307/41167147
Calling the Tune. Adrian Jack and Gavin Thomas on the Politics and Challenges of Commissioning and Programming New Music	1993	['Music']	www.jstor.org/stable/10.2307/1002739
The Roles of Software Programming	2021	['Performing Arts']	www.jstor.org/stable/10.3998/mpub.11667458.13
Book Review :          Forms of Concrescence: Alfred North Whitehead's Philosophy and Computer Programming Structures                    Granville C.           Henry	1994	['Philosophy']	www.jstor.org/stable/10.2307/40320497
"Cynic Charity and Christian Satire: Blending Genres and Programming Readings in the ""Prologue of the Author"" to Rabelais's ""Tiers livre"""	2018	['Language & Literature']	www.jstor.org/stable/10.2307/45172895
Deterritorializing Programming Systems: For a Nomadology of Forth	1998	['Language & Literature']	www.jstor.org/stable/10.2307/40550426
