Beyond lexical frequencies: using R for text analysis in the digital humanities	2019	['Linguistics']	www.jstor.org/stable/10.2307/45286325
Historical corpora meet the digital humanities: the Jerusalem Corpus of Emergent Modern Hebrew	2019	['Linguistics']	www.jstor.org/stable/10.2307/45286328
Language technology for digital humanities: introduction to the special issue	2019	['Linguistics']	www.jstor.org/stable/10.2307/45286319
Book Review :          A better pencil: Readers, writers, and the digital revolution                    Dennis           Baron	2011	['Linguistics', 'Sociology']	www.jstor.org/stable/10.2307/41329687
Book Review :          Digital discourse: Language in the new media                    Crispin           Thurlow                             Kristine           Mroczek	2013	['Linguistics', 'Sociology']	www.jstor.org/stable/10.2307/23473633
Book Review :          Jamaican Creole goes web: Sociolinguistic styling and authenticity in a digital 'yaad'                    Andrea           Moll	2016	['Linguistics', 'Sociology']	www.jstor.org/stable/10.2307/43904766
Book Review :          New narratives: Stories and storytelling in the digital age                    Ruth           Page                             Bronwen           Thomas	2013	['Linguistics', 'Sociology']	www.jstor.org/stable/10.2307/23483244
Folk-linguistic landscapes: The visual semiotics of digital enregisterment	2014	['Linguistics', 'Sociology']	www.jstor.org/stable/10.2307/43904596
The Role of Russian for Digital Diplomacy in Moldova	2021	['Linguistics']	www.jstor.org/stable/10.3366/j.ctv21pts4h.12
Identity, Language and Literacy in an African Digital Landscape	2021	['Communication Studies', 'Linguistics', 'Science & Technology Studies']	www.jstor.org/stable/10.2307/jj.22730532.10
Rethinking Language Use in Digital Africa: Technology and Communication in Sub-Saharan Africa	2021	['Communication Studies', 'Linguistics', 'Science & Technology Studies']	www.jstor.org/stable/10.2307/jj.22730532
Brazilian Sign Language Lexicography and Technology: Dictionary, Digital Encyclopedia, Chereme-Based Sign Retrieval, and Quadriplegic Deaf Communication Systems	2003	['Linguistics', 'Language & Literature']	www.jstor.org/stable/10.2307/26204845
Deaf History, Digital Technology, and Content-Area Literacy	2016	['Linguistics', 'Language & Literature']	www.jstor.org/stable/10.2307/26189131
Exploring the Promise of Digital Deaf Histories	2016	['Linguistics', 'Language & Literature']	www.jstor.org/stable/10.2307/26189127
The Effects of Digital Video Quality on Learner Comprehension in an American Sign Language Assessment Environment	2007	['Linguistics', 'Language & Literature']	www.jstor.org/stable/10.2307/26190630
Book Review : LANGUAGE ONLINE: INVESTIGATING DIGITAL TEXTS AND PRACTICES	2014	['Linguistics']	www.jstor.org/stable/10.2307/26330711
Text and Genre in Reconstruction: Effects of Digitalization on Ideas, Behaviours, Products and Institutions	2010	['Linguistics']	www.jstor.org/stable/10.2307/j.ctt5vjtd9
The Human Presence in Digital Artefacts	2010	['Linguistics']	www.jstor.org/stable/10.2307/j.ctt5vjtd9.8
Book Review :          Sprachgeographie digital. Die neue Generation der Sprachatlanten                    Stephan           Elspass                             Werner           König	2009	['Linguistics']	www.jstor.org/stable/10.2307/25735028
Book Review :          Digital Russia                    Michael S.           Gorham                             Ingunn           Lunde                             Martin           Paulsen	2014	['Language & Literature', 'Slavic Studies', 'Linguistics']	www.jstor.org/stable/10.2307/43974110
