title	year	discipline_names	url
Book Review :          Foundations of Computational Linguistics: Human-Computer Communication in Natural Language (2nd edition, revised and extended)                    Roland           Hausser	2002	['Philosophy']	www.jstor.org/stable/10.2307/23955565
OBJECTIONS TO COMPUTATIONALISM	2018	['Philosophy', 'History']	www.jstor.org/stable/10.2307/26499041
Computing Utopia: The Horizons of Computational Economies in History and Science Fiction	2019	['Language & Literature']	www.jstor.org/stable/10.5621/sciefictstud.46.3.0471
Book Review :          <italic>The Body in Flonnery O'Connor's Fiction: Computational Technique and Linguistic Voice</italic>                    Donald E.           Hardy	2010	['Language & Literature']	www.jstor.org/stable/10.2307/40645944
The Substantial Words Are in the Ground and Sea: Computationally Linking Text and Geography	2012	['Language & Literature']	www.jstor.org/stable/10.2307/41679907
REASSESSING THE APULEIAN CORPUS: A COMPUTATIONAL APPROACH TO AUTHENTICITY	2016	['Classical Studies']	www.jstor.org/stable/10.2307/26292373
Intellectual History and the Computational Turn	2017	['History', 'Language & Literature']	www.jstor.org/stable/10.2307/90010498
Computational Cut-Ups: The Influence of Dada	2017	['Language & Literature']	www.jstor.org/stable/10.5325/jmodeperistud.8.2.0179
The Causal History of Computational Activity: Maudlin and Olympia	1991	['Philosophy']	www.jstor.org/stable/10.2307/2026687
Book Review :          METHODS IN LATIN COMPUTATIONAL LINGUISTICS (Brill's Studies in Historical Linguistics 1)                    B.           MCGILLIVRAY	2015	['Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/26346966
Book Review :          Psychology and Nihilism: A Genealogical Critique of the Computational Model of Mind                    Fred J.           Evans	1996	['Philosophy']	www.jstor.org/stable/10.2307/25670182
"Andrew Marvell and the ""Painter Satires"": A Computational Approach to Their Authorship"	2005	['Language & Literature']	www.jstor.org/stable/10.2307/3737597
Book Review :          A Neurocomputational Perspective: The Nature of Mind and the Structure of Science                    Paul M.           Churchland	1992	['Philosophy']	www.jstor.org/stable/10.2307/2185955
Book Review :          Symbols, Computation, and Intentionality: A Critique of the Computational Theory of Mind                    Steven W.           Horst	1998	['Philosophy']	www.jstor.org/stable/10.2307/2998320
Book Review :              Conceptual Atomism and the Computational Theory of Mind                            John-Michael               Kuczynzki	2008	['Philosophy']	www.jstor.org/stable/10.2307/20131072
Book Review :              Psychology and Nihilism. A Genealogical Critique of the Computational Model of Mind                            Fred J.               Evans	1995	['Philosophy']	www.jstor.org/stable/10.2307/20129773
Book Review :              Symbols, Computation, and Intentionality: A Critique of the Computational Theory of Mind                            Steven W.               Horst	1999	['Philosophy']	www.jstor.org/stable/10.2307/20131267
Book Review :          Explaining the Computational Mind                    Marcin           MILKOWSKI	2013	['Philosophy']	www.jstor.org/stable/10.2307/23597991
Theater as Data: Computational Journeys into Theater Research	2021	['Performing Arts']	www.jstor.org/stable/10.3998/mpub.11667458
The Folklore Macroscope: Challenges for a Computational Folkloristics	2013	['Folklore']	www.jstor.org/stable/10.2307/24550905
