title	year	discipline_names	url
The Digital Condition: Class and Culture in the Information Network	2011	['Philosophy']	www.jstor.org/stable/10.2307/j.ctt14brzk3
The Ideology of the Digital Me	2011	['Philosophy']	www.jstor.org/stable/10.2307/j.ctt14brzk3.8
Digital and Posthuman Narratives in Literature	2024	['Philosophy']	www.jstor.org/stable/10.3366/jj.9941292.16
Humanities in a Digital World	2024	['Philosophy']	www.jstor.org/stable/10.3366/jj.9941292.20
From Stage to Live Broadcasts and Streaming: O'Neill's Theatre Guild Model in the Digital Age	2019	['Language & Literature', 'Performing Arts']	www.jstor.org/stable/10.5325/eugeoneirevi.40.1.2019.0087
Digital Trauma Processing in Social Media Groups	2017	['History']	www.jstor.org/stable/10.2307/26374322
Book Review :          Technology and the Historian: Transformations in the Digital Age                    Adam           Crymble	2021	['History']	www.jstor.org/stable/10.2307/45418020
Book Review : Digital Classics Outside the Echo-Chamber: Teaching, Knowledge Exchange & Public Engagement	2017	['Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/26575805
Book Review : Digital Papyrology 1: Methods, Tools and Trends	2018	['Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/26575936
Book Review :          Playing with the Past: Digital Games and the Simulation of History                    Matthew Wilhelm           Kapell                             Andrew B. R.           Elliott	2015	['History']	www.jstor.org/stable/10.2307/43829649
A Framework for Digital Survey from Aerial Photographs	1998	['Archaeology']	www.jstor.org/stable/10.2307/30001697
Digital Archives, Avant-Garde Periodicals: An Introduction	2017	['Language & Literature']	www.jstor.org/stable/10.5325/jmodeperistud.8.2.v
Digital Preservation	2003	['History', 'Religion']	www.jstor.org/stable/10.2307/23337619
Book Review :          MODELLI DIGITALI 3D IN ARCHEOLOGIA: IL CASO DI POMPEI (Strumenti 11)                    B.           BENEDETTI                             M.           GAIANI                             F.           REMONDINO	2013	['Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/43286816
Roman Studies and Digital Resources	2018	['Classical Studies', 'Archaeology']	www.jstor.org/stable/10.2307/26817570
Royce on Self and Relationships: Speaking to the Digital and Texting Self of Today	2018	['Philosophy']	www.jstor.org/stable/10.5325/jspecphil.32.2.0285
Book Review :          A New Republic of Letters: Memory and Scholarship in the Age of Digital Reproduction                    Jerome           McGann	2015	['Language & Literature']	www.jstor.org/stable/10.2307/43796037
Book Review :          The Johns Hopkins Guide to Digital Media                    Marie-Laure           Ryan                             Lori           Emerson                             Benjamin J.           Robertson	2014	['Language & Literature']	www.jstor.org/stable/10.2307/44066197
"THE WORK OF CONNOISSEURSHIP IN THE DIGITAL AGE: DELACROIX'S EASEL-SIZED VARIATION ON ""THE LAST WORDS OF MARCUS AURELIUS"""	2012	['Art & Art History']	www.jstor.org/stable/10.2307/24412690
"""The Luminous Flash of a Single Sentence"": Using Mark Twain's Digital Manuscripts in the Pedagogy of Composition"	2005	['Language & Literature']	www.jstor.org/stable/10.2307/41582211
Book Review :          Huck Finn CD-ROM: The Complete Buffalo & Erie Public Library Manuscript-Teaching and Research Digital Edition                    Victor           Doyno                             Robert           Bertholf	2003	['Language & Literature']	www.jstor.org/stable/10.2307/41582178
<em>Digital Yoknapatawpha</em> as a Resource for Teachers and Students	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26468046
<em>Digital Yoknapatawpha</em> in the Context of the Digital Humanities	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26468042
Digital Yoknapatawpha	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26468043
Humanism, Faulkner, and the Digital	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26468047
Using the <em>Digital Yoknapatawpha</em> Database for Research	2015	['Language & Literature']	www.jstor.org/stable/10.2307/26468044
Book Review :              Der digitale Grimm: Deutsches Wörterbuch von Jacob Grimm und Wilhelm Grimm. Elektronische Ausgabe der Erstbearbeitung                            Hans-Werner               Bartz                                         Thomas               Burch                                         Ruth               Christmann                                         Kurt               Gärtner                                         Vera               Hildebrandt                                         Thomas               Schares                                         Klaudia               Wegge	2006	['Language & Literature']	www.jstor.org/stable/10.2307/20467113
Book Review :          Digital Poetics: The Making of E-Poetries                                 Loss Pequeño             Glazier	2004	['Language & Literature']	www.jstor.org/stable/10.2307/3738896
Book Review :          Reading Digital Culture                    David           Trend	2003	['Language & Literature']	www.jstor.org/stable/10.2307/3738214
Book Review : Cyberformalism: Histories of Linguistic Forms in the Digital Archive	2020	['Language & Literature']	www.jstor.org/stable/10.5699/modelangrevi.115.2.0440
Book Review : Grammalepsy: Essays on Digital Language Art	2019	['Language & Literature']	www.jstor.org/stable/10.5699/modelangrevi.114.4.0846
"""BORN DIGITAL""—RAISED AN ORPHAN? Acquiring Digital Media through an Analog Paradigm"	2008	['Film Studies']	www.jstor.org/stable/10.2307/41167290
"ARE ALL (ANALOG) FILMS ""ORPHANS""? A Predigital Appraisal"	2009	['Film Studies']	www.jstor.org/stable/10.2307/41167315
Book Review :          Celluloid Goes Digital	2004	['Film Studies']	www.jstor.org/stable/10.2307/41167160
Book Review :          Film Archives in the Digital Era: New Concepts and New Policies	2003	['Film Studies']	www.jstor.org/stable/10.2307/41167139
Book Review :          Moving Image Technology: From Zoetrope to Digital                    Leo           Enticknap	2007	['Film Studies']	www.jstor.org/stable/10.2307/41167381
Book Review :          The Death of Cinema: History, Cultural Memory, and the Digital Dark Age                    Paolo Cherchi           Usai	2003	['Film Studies']	www.jstor.org/stable/10.2307/41167118
Criteria for the Use of Digital Technology in Moving Image Restoration	2007	['Film Studies']	www.jstor.org/stable/10.2307/41167274
DIGITAL DECAY	2008	['Film Studies']	www.jstor.org/stable/10.2307/41167301
DIGITAL PRESERVATION OF MOVING IMAGE MATERIAL?	2001	['Film Studies']	www.jstor.org/stable/10.2307/41167061
Digging into Digital Newspapers in a Dark Time	2020	['Film Studies']	www.jstor.org/stable/10.5749/movingimage.20.1-2.0156
Digital Asset Symposium: Museum of Modern Art, New York City, April 25, 2008	2008	['Film Studies']	www.jstor.org/stable/10.2307/41167305
How I Learned to Stop Worrying and Love Digital Archives: Digital Archiving Practices at the Swedish Film Institute	2019	['Film Studies']	www.jstor.org/stable/10.5749/movingimage.19.1.0144
Joint Technical Symposium 2007: Audiovisual Heritage and the Digital Universe, University of Toronto, June 28-30, 2007	2008	['Film Studies']	www.jstor.org/stable/10.2307/41167304
Keep That Image Burning: Digital Kříženecký, Color Veil, and the Cinema That Never Stops Ending	2020	['Film Studies']	www.jstor.org/stable/10.5749/movingimage.20.1-2.0123
Looking at Preservation from the Digital Library Perspective	2003	['Film Studies']	www.jstor.org/stable/10.2307/41167128
Moving History: Promoting Moving Image Archive Collections in an Emerging Digital Age	2004	['Film Studies']	www.jstor.org/stable/10.2307/41167170
