,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Digital Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002368158685577203,0.00046611354525962525,0.0,0.00024830408311234266,0.0016539196714842985,0.0024874322485641297,0.0028111351619341633,0.001249038240554773,0.0064303474292899945,0.0015175389564896287,0.003474932372469982,0.003586313602631329,0.003416973245099491,0.001960699734521256,0.0,0.003804933730737523,0.0036199095022624436
Cultural Heritage,0.0012132719822134327,0.0008892393150485969,0.0008649646085314343,0.00054091625804951,0.00027987058784018266,0.0010978334257343134,0.0008588679547777393,0.0013943500934214563,0.0005462659987654388,0.002232927870847452,0.0005576031984119461,0.0005792954030013294,0.0008697038658336836,0.0005534662205728929,0.001926824702993735,0.001597975897196884,0.0015517709586065098,0.0022355916120602717,0.0004736317371154406,0.0016313974084086883,0.004128919437495446,0.0019864326648987413,0.002362742387834712,0.004726121272271846,0.0020444619359521188,0.003996922369775273,0.007382991492888512,0.008599387420107898,0.004811444823419975,0.004354809374623757,0.006833946490198982,0.004705679362851014,0.02567947901472975,0.01141480119221257,0.014479638009049774
Humanities Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002791159838559315,0.0,0.0,0.00028990128861122787,0.0,0.0,0.0,0.0,0.0,0.0002368158685577203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025616525733080926,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,0.0024265439644268654,0.000296413105016199,0.00028832153617714475,0.00054091625804951,0.00027987058784018266,0.0010978334257343134,0.00028628931825924644,0.0008366100560528738,0.0,0.0,0.0,0.0005792954030013294,0.00028990128861122787,0.00027673311028644646,0.00027526067185624787,0.0005326586323989613,0.0002586284931010849,0.0004967981360133937,0.0,0.00023305677262981263,0.0,0.00024830408311234266,0.0002362742387834712,0.00024874322485641295,0.00025555774199401485,0.00024980764811095455,0.0007144830476988883,0.0007587694782448144,0.0016038149411399917,0.002817817830638902,0.0026576458572996043,0.0027449796283297583,0.00513589580294595,0.005073244974316697,0.016289592760180997
Generative AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025366224871583485,0.0036199095022624436
